Run,Biological_materials,HBV_genotype,Percent_HBV_RNA
SRR5992881,PHH,D,12.1587068757
SRR5992882,PHH,D,14.2101649172
SRR5992892,PHH,D,13.9934057861
SRR5992893,PHH,D,15.4126521239
SRR5992894,PHH,D,15.1603140563
SRR5992895,PHH,D,15.2790090758
SRR5992896,PHH,D,17.0187522951
SRR5992897,PHH,D,15.244492272899999
SRR5992898,PHH,D,15.9777113967
SRR5992899,PHH,D,14.8219083497
SRR5992900,PHH,D,15.722267044099999
SRR5992901,PHH,D,14.519457534799999
SRR5992906,PHH,D,12.3842683076
SRR5992907,PHH,D,13.0053937989
SRR6080217,Tissue,B,0.4820287597
SRR6080219,Tissue,B,0.8388596191000001
SRR6080223,Tissue,C,0.6065626465
SRR6080224,Tissue,B,2.2909083007
SRR6080226,Tissue,C,32.588914062499995
SRR6080229,Tissue,C,2.4616314026
SRR6080230,Tissue,C,13.2105881772
SRR6080233,Tissue,C,0.527952832
SRR6872329,PHH,D,0.7974056275000001
SRR6872330,PHH,D,0.9132222534
SRR6872331,PHH,D,0.6949778075999999
SRR6872333,PHH,D,0.1768382568
SRR6872335,PHH,D,0.7222286255
SRR6872338,PHH,D,0.6167051025
SRR6872339,PHH,D,1.1500793700999998
SRR6872341,PHH,D,0.2153722168
SRR6872342,PHH,D,1.0480675170999998
SRR6872343,PHH,D,0.7776634888
SRR6872344,PHH,D,1.3676825195
SRR6872345,PHH,D,0.6378706055
SRR6872346,PHH,D,0.9596631714
SRR7802508,PHH,D,16.6844191599
SRR7802509,PHH,D,17.8849872163
SRR7802511,PHH,D,17.3326275469
SRR9592403,PHH,D,0.5662954346
SRR9592404,PHH,D,0.2113291992
SRR9592408,PHH,D,0.7831656006000001
SRR9592409,PHH,D,0.7260618652
SRR9592410,PHH,D,0.4186120117
SRR9592411,PHH,D,0.2827028076
SRR9592413,PHH,D,1.0485113769
